original_release_year,example_no,igdb_id,name,game_type,genres,themes,game_modes,platforms,thematic_fit_score,visibility_count_score,broad_candidate_for_archetype_annotation
1987,6,1116,Castlevania II: Simon's Quest,Main Game,Adventure | Platform | Role-playing (RPG),Action | Fantasy | Horror,Single player,Family Computer Disk System | Nintendo 3DS | Nintendo Entertainment System | Wii | Wii U,5.5,441.0,True
1987,7,374,Metal Gear,Main Game,Adventure | Shooter | Tactical,Action | Science fiction | Stealth | Survival,Single player,MSX2 | Wii,5.5,426.0,True
1987,8,192,Maniac Mansion,Main Game,Adventure | Point-and-click,Comedy | Fantasy | Horror | Science fiction,Single player,Amiga | Apple II | Atari ST/STE | Commodore C64/128/MAX | DOS | Mac | PC (Microsoft Windows),5.5,412.0,True
1987,9,6930,Street Fighter,Main Game,Arcade | Fighting,Action,Multiplayer | Single player,Arcade | PC (Microsoft Windows),5.5,303.0,True
1987,10,6840,R-Type,Main Game,Arcade | Shooter,Action | Science fiction,Multiplayer | Single player,Amiga | Arcade | Atari ST/STE | Commodore C64/128/MAX | MSX | PC-8800 Series | Sharp X68000,5.5,186.0,True
1987,11,2906,Leisure Suit Larry in the Land of the Lounge Lizards,Main Game,Adventure | Point-and-click,Comedy | Erotic,Single player,Amiga | Apple II | Apple IIGS | Atari ST/STE | DOS | Linux | Mac | PC (Microsoft Windows) | TRS-80 | TRS-80 Color Computer,5.5,162.0,True
1987,12,6899,Shinobi,Main Game,Adventure | Arcade | Hack and slash/Beat 'em up,Action,Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | MSX | TurboGrafx-16/PC Engine | ZX Spectrum,5.5,155.0,True
1987,13,6145,Super Hang-On,Main Game,Arcade | Racing,Action,Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | DOS | Mac | PlayStation 3 | Sega Mega Drive/Genesis | Sharp X68000 | Wii | ZX Spectrum,4.0,141.0,True
1987,14,9231,Sid Meier's Pirates!,Main Game,Adventure | Arcade | Role-playing (RPG) | Simulator | Strategy,Action | Historical,Single player,Amiga | Amstrad CPC | Apple II | Apple IIGS | Atari ST/STE | Commodore C64/128/MAX | DOS | Mac | Nintendo Entertainment System | PC (Microsoft Windows),4.0,133.0,True
1987,15,6076,1943: The Battle of Midway,Main Game,Arcade | Shooter,Action | Historical | Warfare,Co-operative | Multiplayer | Single player,Amiga | Amstrad CPC | Arcade | Atari ST/STE | Commodore C64/128/MAX | ZX Spectrum,5.5,129.0,True
