population,scheme,decade,archetype,share_pct
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Explorer/Seeker,26.40666071630094
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Hero/Warrior,26.32984176204796
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Innocent,1.9397390922191757
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Jester/Trickster,3.419557700839853
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Lover,1.5484857317167342
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Magician/Transformer,5.524571721431773
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Rebel/Outlaw,5.883882799167773
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Ruler/Leader,3.4736092729403283
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Sage/Investigator,13.029136394859881
all_rows_missing_visibility_equal,raw_cap_p99,1990s,Uncertain,4.630591047258219
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Caregiver/Guardian,1.3368074740982028
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Creator/Artist,1.368807339343468
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Everyman/Orphan,7.628022552359939
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Explorer/Seeker,17.143686778737045
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Hero/Warrior,25.469311665967552
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Innocent,0.6477091711042038
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Jester/Trickster,4.84381780078182
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Lover,1.183362658093405
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Magician/Transformer,2.7085926885595164
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Rebel/Outlaw,15.61567758206587
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Ruler/Leader,5.86047927157748
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Sage/Investigator,8.525375071056967
all_rows_missing_visibility_equal,raw_cap_p99,2000s,Uncertain,7.668349946254532
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Caregiver/Guardian,4.22231168483166
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Creator/Artist,3.28022704319592
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Everyman/Orphan,12.349520208302362
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Explorer/Seeker,14.880102976828189
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Hero/Warrior,22.338540293017868
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Innocent,3.1694191382433106
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Jester/Trickster,4.822476490725832
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Lover,2.72626791245101
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Magician/Transformer,3.2336337316872283
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Rebel/Outlaw,10.143185415538982
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Ruler/Leader,4.836689008701177
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Sage/Investigator,7.520110911287863
all_rows_missing_visibility_equal,raw_cap_p99,2010s,Uncertain,6.4775151851885955
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Caregiver/Guardian,4.437868331546125
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Creator/Artist,5.557685054730218
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Everyman/Orphan,12.487506123273386
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Explorer/Seeker,17.229116278447076
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Hero/Warrior,21.493939959478567
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Innocent,2.5456261712621564
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Jester/Trickster,4.210433957998296
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Lover,3.16244056043681
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Magician/Transformer,4.257581089246129
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Rebel/Outlaw,8.403391393632392
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Ruler/Leader,5.598551892928012
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Sage/Investigator,5.40454207769544
all_rows_missing_visibility_equal,raw_cap_p99,2020s,Uncertain,5.211317109325389
all_rows_missing_visibility_equal,raw_reviews,1980s,Caregiver/Guardian,2.605377454288573
